"","fornitore","numero_dosi","soglia","date"
"1","Janssen",8,0,2021-01-04
"2","Janssen",2,0,2021-01-05
"3","Janssen",1,0,2021-01-06
"4","Janssen",2,0,2021-01-07
"5","Janssen",4,0,2021-01-09
"6","Janssen",1,0,2021-02-02
"7","Janssen",4,0,2021-02-04
"8","Janssen",1,0,2021-02-06
"9","Janssen",1,0,2021-02-08
"10","Janssen",1,0,2021-03-01
"11","Janssen",1,0,2021-03-06
"12","Janssen",5,0,2021-03-08
"13","Janssen",1,0,2021-03-10
"14","Janssen",3,0,2021-03-11
"15","Janssen",5,0,2021-03-12
"16","Janssen",4,0,2021-03-13
"17","Janssen",1,0,2021-03-14
"18","Janssen",5,0,2021-03-15
"19","Janssen",10,0,2021-03-16
"20","Janssen",10,0,2021-03-17
"21","Janssen",8,0,2021-03-18
"22","Janssen",7,0,2021-03-19
"23","Janssen",4,0,2021-03-20
"24","Janssen",3,0,2021-03-21
"25","Janssen",4,0,2021-03-23
"26","Janssen",1,0,2021-03-24
"27","Janssen",1,0,2021-03-25
"28","Janssen",4,0,2021-03-26
"29","Janssen",1,0,2021-03-27
"30","Janssen",1,0,2021-03-28
"31","Janssen",2,0,2021-03-30
"32","Janssen",7,0,2021-03-31
"33","Janssen",4,0,2021-04-01
"34","Janssen",2,0,2021-04-03
"35","Janssen",5,0,2021-04-05
"36","Janssen",33,0,2021-04-06
"37","Janssen",3,0,2021-04-07
"38","Janssen",2,0,2021-04-08
"39","Janssen",14,0,2021-04-09
"40","Janssen",2,0,2021-04-10
"41","Janssen",1,0,2021-04-11
"42","Janssen",8,0,2021-04-12
"43","Janssen",4,0,2021-04-13
"44","Janssen",2,0,2021-04-16
"45","Janssen",1,0,2021-04-20
"46","Janssen",179800,1,2021-04-22
"47","Janssen",1,0,2021-04-23
"48","Janssen",2,0,2021-04-26
"49","Janssen",1,0,2021-04-28
"50","Janssen",2,0,2021-04-29
"51","Janssen",12,0,2021-04-30
"52","Janssen",157002,1,2021-05-01
"53","Janssen",1,0,2021-05-02
"54","Janssen",1,0,2021-05-03
"55","Janssen",2,0,2021-05-04
"56","Janssen",13,0,2021-05-05
"57","Janssen",3,0,2021-05-07
"58","Janssen",6001,1,2021-05-08
"59","Janssen",19,0,2021-05-10
"60","Janssen",7,0,2021-05-11
"61","Janssen",15,0,2021-05-12
"62","Janssen",1,0,2021-05-13
"63","Janssen",163008,1,2021-05-14
"64","Janssen",6,0,2021-05-17
"65","Janssen",3508,1,2021-05-18
"66","Janssen",7,0,2021-05-19
"67","Janssen",2102,1,2021-05-20
"68","Janssen",212358,1,2021-05-21
"69","Janssen",2,0,2021-05-22
"70","Janssen",1,0,2021-05-23
"71","Janssen",4,0,2021-05-24
"72","Janssen",2,0,2021-05-25
"73","Janssen",11,0,2021-05-26
"74","Janssen",2,0,2021-05-27
"75","Janssen",10000,1,2021-05-28
"76","Janssen",12001,1,2021-05-29
"77","Janssen",480500,1,2021-05-30
"78","Janssen",2,0,2021-06-01
"79","Janssen",1,0,2021-06-02
"80","Janssen",33753,1,2021-06-03
"81","Janssen",299777,1,2021-06-04
"82","Janssen",2,0,2021-06-05
