"","fornitore","numero_dosi","soglia","date"
"1","Moderna",3,0,2020-12-28
"2","Moderna",3,0,2020-12-29
"3","Moderna",9,0,2020-12-30
"4","Moderna",3,0,2021-01-01
"5","Moderna",7,0,2021-01-02
"6","Moderna",19,0,2021-01-03
"7","Moderna",13,0,2021-01-04
"8","Moderna",3,0,2021-01-05
"9","Moderna",9,0,2021-01-06
"10","Moderna",4,0,2021-01-07
"11","Moderna",78,0,2021-01-08
"12","Moderna",1973,1,2021-01-09
"13","Moderna",2,0,2021-01-10
"14","Moderna",153,0,2021-01-11
"15","Moderna",148,0,2021-01-12
"16","Moderna",46817,1,2021-01-13
"17","Moderna",159,0,2021-01-14
"18","Moderna",98,0,2021-01-15
"19","Moderna",51,0,2021-01-16
"20","Moderna",2,0,2021-01-18
"21","Moderna",64,0,2021-01-19
"22","Moderna",52,0,2021-01-20
"23","Moderna",144,0,2021-01-21
"24","Moderna",245,0,2021-01-22
"25","Moderna",6,0,2021-01-23
"26","Moderna",5,0,2021-01-24
"27","Moderna",99,0,2021-01-25
"28","Moderna",43,0,2021-01-26
"29","Moderna",171,0,2021-01-27
"30","Moderna",128,0,2021-01-28
"31","Moderna",298,0,2021-01-29
"32","Moderna",13,0,2021-01-30
"33","Moderna",65905,1,2021-02-01
"34","Moderna",18,0,2021-02-02
"35","Moderna",21,0,2021-02-03
"36","Moderna",40,0,2021-02-04
"37","Moderna",73,0,2021-02-05
"38","Moderna",46,0,2021-02-06
"39","Moderna",1,0,2021-02-07
"40","Moderna",47,0,2021-02-08
"41","Moderna",120,0,2021-02-09
"42","Moderna",149,0,2021-02-10
"43","Moderna",308,0,2021-02-11
"44","Moderna",164,0,2021-02-12
"45","Moderna",132006,1,2021-02-13
"46","Moderna",2,0,2021-02-15
"47","Moderna",54,0,2021-02-16
"48","Moderna",55,0,2021-02-17
"49","Moderna",134,0,2021-02-18
"50","Moderna",347,0,2021-02-19
"51","Moderna",25,0,2021-02-20
"52","Moderna",10,0,2021-02-21
"53","Moderna",99,0,2021-02-22
"54","Moderna",59,0,2021-02-23
"55","Moderna",170,0,2021-02-24
"56","Moderna",129,0,2021-02-25
"57","Moderna",434,0,2021-02-26
"58","Moderna",18,0,2021-02-27
"59","Moderna",70806,1,2021-02-28
"60","Moderna",167302,1,2021-03-01
"61","Moderna",12,0,2021-03-02
"62","Moderna",18,0,2021-03-03
"63","Moderna",15,0,2021-03-04
"64","Moderna",44,0,2021-03-05
"65","Moderna",12,0,2021-03-06
