"","fornitore","numero_dosi","soglia","date"
"1","Pfizer/BioNTech",9750,1,2020-12-27
"2","Pfizer/BioNTech",3,0,2020-12-28
"3","Pfizer/BioNTech",3,0,2020-12-29
"4","Pfizer/BioNTech",313952,1,2020-12-30
"5","Pfizer/BioNTech",156003,1,2020-12-31
"6","Pfizer/BioNTech",1,0,2021-01-01
"7","Pfizer/BioNTech",2,0,2021-01-02
"8","Pfizer/BioNTech",2,0,2021-01-03
"9","Pfizer/BioNTech",10729,1,2021-01-04
"10","Pfizer/BioNTech",192078,1,2021-01-05
"11","Pfizer/BioNTech",980,0,2021-01-06
"12","Pfizer/BioNTech",214509,1,2021-01-07
"13","Pfizer/BioNTech",983,0,2021-01-08
"14","Pfizer/BioNTech",17,0,2021-01-09
"15","Pfizer/BioNTech",83859,1,2021-01-11
"16","Pfizer/BioNTech",420237,1,2021-01-12
"17","Pfizer/BioNTech",5855,1,2021-01-13
"18","Pfizer/BioNTech",985,0,2021-01-14
"19","Pfizer/BioNTech",6,0,2021-01-15
"20","Pfizer/BioNTech",2,0,2021-01-16
"21","Pfizer/BioNTech",1,0,2021-01-17
"22","Pfizer/BioNTech",86580,1,2021-01-18
"23","Pfizer/BioNTech",55001,1,2021-01-19
"24","Pfizer/BioNTech",104138,1,2021-01-20
"25","Pfizer/BioNTech",152115,1,2021-01-21
"26","Pfizer/BioNTech",9,0,2021-01-22
"27","Pfizer/BioNTech",1,0,2021-01-23
"28","Pfizer/BioNTech",6,0,2021-01-24
"29","Pfizer/BioNTech",16387,1,2021-01-25
"30","Pfizer/BioNTech",246875,1,2021-01-26
"31","Pfizer/BioNTech",191889,1,2021-01-27
"32","Pfizer/BioNTech",9,0,2021-01-28
"33","Pfizer/BioNTech",5869,1,2021-01-29
"34","Pfizer/BioNTech",3,0,2021-01-30
"35","Pfizer/BioNTech",19899,1,2021-02-01
"36","Pfizer/BioNTech",470355,1,2021-02-02
"37","Pfizer/BioNTech",18730,1,2021-02-03
"38","Pfizer/BioNTech",117,0,2021-02-04
"39","Pfizer/BioNTech",1185,1,2021-02-05
"40","Pfizer/BioNTech",62,0,2021-02-06
"41","Pfizer/BioNTech",30,0,2021-02-07
"42","Pfizer/BioNTech",23406,1,2021-02-08
"43","Pfizer/BioNTech",312399,1,2021-02-09
"44","Pfizer/BioNTech",173167,1,2021-02-10
"45","Pfizer/BioNTech",1179,1,2021-02-11
"46","Pfizer/BioNTech",5,0,2021-02-12
"47","Pfizer/BioNTech",5,0,2021-02-13
"48","Pfizer/BioNTech",4,0,2021-02-14
"49","Pfizer/BioNTech",44466,1,2021-02-15
"50","Pfizer/BioNTech",17556,1,2021-02-16
"51","Pfizer/BioNTech",11703,1,2021-02-17
"52","Pfizer/BioNTech",542885,1,2021-02-18
"53","Pfizer/BioNTech",7,0,2021-02-19
"54","Pfizer/BioNTech",1,0,2021-02-20
"55","Pfizer/BioNTech",4,0,2021-02-21
"56","Pfizer/BioNTech",50314,1,2021-02-22
"57","Pfizer/BioNTech",483265,1,2021-02-23
"58","Pfizer/BioNTech",93616,1,2021-02-24
"59","Pfizer/BioNTech",4792,1,2021-02-25
"60","Pfizer/BioNTech",6,0,2021-02-26
